source,target,value
Dudley,Dumbledore,8
Dudley,Gordon,8
Dudley,Goyle,4
Dudley,Harry,558
Dudley,Harry Potter,23
Dudley,Luna,8
Dudley,Malcolm,4
Dudley,Mark Evans,8
Dudley,Molly,4
Dudley,Montague,3
Dudley,Petunia,60
Dudley,Piers,4
Dudley,Prentice,4
Dudley,Ripper,8
Dudley,Ron,4
Dudley,Snape,4
Dudley,Uncle,3
Dudley,Vernon,135
Dudley,able,8
Dudley,black,4
Dudley,face,5
Dudley,fallen,3
Dudley,loony,2
Dudley,magic,5
Dudley Dursley,Dumbledore,8
Dudley Dursley,Harry,6
Dudley Dursley,Uncle,4
Dudley Dursley,face,3
Dumbledore,Alastor,4
Dumbledore,Albus,10
Dumbledore,Angelina,4
Dumbledore,Arabella,6
Dumbledore,Armando Dippet,3
Dumbledore,Arthur,40
Dumbledore,Arthur Weasley,12
Dumbledore,Ball,24
Dumbledore,Bellatrix,12
Dumbledore,Bill,17
Dumbledore,Black,12
Dumbledore,Brian,4
Dumbledore,Cedric,7
Dumbledore,Charlie,6
Dumbledore,Cho Chang,4
Dumbledore,Cornelius,108
Dumbledore,Cornelius Fudge,3
Dumbledore,Crookshanks,15
Dumbledore,Dedalus Diggle,2
Dumbledore,Dolores,2
Dumbledore,Dolores Umbridge,7
Dumbledore,Don,6
Dumbledore,Dorcas,4
Dumbledore,Draco Malfoy,8
Dumbledore,Dudley,26
Dumbledore,Dudley Dursley,3
Dumbledore,Edgecombe,28
Dumbledore,Eric,3
Dumbledore,Everard,28
Dumbledore,Fabian,4
Dumbledore,Fang,3
Dumbledore,Fawkes,19
Dumbledore,Firenze,27
Dumbledore,Fred,88
Dumbledore,George,10
Dumbledore,Gilderoy Lockhart,4
Dumbledore,Ginny,19
Dumbledore,Godric Gryffindor,6
Dumbledore,Golgomath,3
Dumbledore,Hagrid,101
Dumbledore,Hall,16
Dumbledore,Harry,748
Dumbledore,Harry Potter,24
Dumbledore,Hedwig,7
Dumbledore,Hermione,182
Dumbledore,Karkus,8
Dumbledore,Kingsley,46
Dumbledore,Kreacher,96
Dumbledore,Lady,6
Dumbledore,Lavender,19
Dumbledore,Lestrange,24
Dumbledore,Lily,6
Dumbledore,Lord,12
Dumbledore,Lucius,4
Dumbledore,Lucius Malfoy,6
Dumbledore,Luna,3
Dumbledore,Lupin,42
Dumbledore,MAGIC,9
Dumbledore,MUNDUNGUS FLETCHER,3
Dumbledore,Magic,41
Dumbledore,Magorian,3
Dumbledore,Malfoy,20
Dumbledore,Malkin,4
Dumbledore,Marietta,14
Dumbledore,Mark,6
Dumbledore,Marlene,5
Dumbledore,McGonagall,143
Dumbledore,Merlin,7
Dumbledore,Minerva,11
Dumbledore,Molly,6
Dumbledore,Mr. Potter,9
Dumbledore,Mr. Weasley,120
Dumbledore,Mundungus,26
Dumbledore,Mungo,18
Dumbledore,Neville,33
Dumbledore,Nick,10
Dumbledore,Nymphadora Tonks,20
Dumbledore,Olympe,8
Dumbledore,Parvati,3
Dumbledore,Peeves,5
Dumbledore,Percy,26
Dumbledore,Phineas,132
Dumbledore,Prentice,6
Dumbledore,Rita,8
Dumbledore,Ron,197
Dumbledore,Rose,3
Dumbledore,Rubeus Hagrid,9
Dumbledore,SIRIUS,3
Dumbledore,SNAPE,4
Dumbledore,Seamus,32
Dumbledore,Sinistra,4
Dumbledore,Sirius,148
Dumbledore,Sirius Black,9
Dumbledore,Snape,216
Dumbledore,Sturgis,3
Dumbledore,Sturgis Podmore,3
Dumbledore,Terry Boot,12
Dumbledore,Tom,8
Dumbledore,Trelawney,23
Dumbledore,UNCLE,3
Dumbledore,Umbridge,264
Dumbledore,Uncle,9
Dumbledore,Vernon,3
Dumbledore,Voldemort,183
Dumbledore,Williamson,3
Dumbledore,Willy,12
Dumbledore,Willy Widdershins,8
Dumbledore,Zacharias,16
Dumbledore,Zacharias Smith,4
Dumbledore,able,101
Dumbledore,ancient,3
Dumbledore,angry,9
Dumbledore,black,45
Dumbledore,broom,6
Dumbledore,brothers,4
Dumbledore,butterbeer,4
Dumbledore,clever,18
Dumbledore,count,12
Dumbledore,day,59
Dumbledore,don,4
Dumbledore,doxy,6
Dumbledore,face,129
Dumbledore,fallen,27
Dumbledore,forest,16
Dumbledore,gossamer,6
Dumbledore,grim,6
Dumbledore,group,9
Dumbledore,hall,18
Dumbledore,handsome,6
Dumbledore,hope,24
Dumbledore,magic,53
Dumbledore,mark,7
Dumbledore,miles,3
Dumbledore,one-eyed,4
Dumbledore,pumpkin,2
Dumbledore,rod,11
Dumbledore,rose,20
Dumbledore,scarlet,8
Dumbledore,spindle,6
Dumbledore,stunned,8
Dumbledore,tall,16
Dumbledore,uncle,6
Eddie Carmichael,Ron,4
Eddie Carmichael,black,8
Edgar Bones,Amelia Bones,4
Edgar Bones,Emmeline Vance,4
Edgecombe,Dolores,4
Edgecombe,Dumbledore,10
Edgecombe,Fawkes,4
Edgecombe,Harry,3
Edgecombe,Marietta,17
Edgecombe,McGonagall,17
Edgecombe,Parkinson,3
Edgecombe,Umbridge,27
Edgecombe,face,6
Elfrida,Dilys,12
Elladora,Bill,8
Elladora,Kreacher,3
Eloise Midgen,Hermione,6
Eloise Midgen,Umbridge,3
Elphias Doge,Aberforth,3
Elphias Doge,Emmeline Vance,8
Elphias Doge,Fabian,4
Elphias Doge,Gideon,3
Elphias Doge,Kingsley Shacklebolt,4
Emmeline Vance,Kingsley Shacklebolt,16
Emmeline Vance,Lupin,12
Emmeline Vance,Sturgis,8
Eric,Harry,24
Eric Munch,Hermione,3
Eric Munch,Magic,6
Euan,Euan Abercrombie,6
Euan,Hall,4
Euan,McGonagall,3
Euan,Nick,3
Euan,face,4
Euan Abercrombie,Harry,8
Euan Abercrombie,Hermione,8
Euan Abercrombie,McGonagall,4
